Title,Link,Description,Date,Guid,length
Cedefop: Vocational education and training: bridging refugee and employer needs,http://skillspanorama.cedefop.europa.eu/en/news/cedefop-vocational-education-and-training-bridging-refugee-and-employer-needs,"Cedefop: Vocational education and training: bridging refugee and employer needsMonday, July 3, 2017Over the past two years, Europe has received an unprecedented number of refugees and asylum seekers. Many of these are here to stay, and the European Union needs to ensure that they enter the labour market and become self-reliant as quickly as possible.

Cedefop cooperates with the Organisation for Economic Cooperation and Development  in supporting refugee integration through skilling and qualification. To this end, the two organisations launched a joint survey, carried out by Cedefop’s national ReferNet partners. The results of this survey form the basis of a briefing note published by Cedefop.
Vocational education and training programmes can help migrants connect with the labour market and find jobs matching their skills and qualifications. For this purpose, the survey has found, EU Member States have stepped up education and training provision and broadened access to it. Many countries have introduced new features to their systems, such as automated self-assessments, fast-track procedures and local community training supported by mentors.
Early support is critical to successful integration of refugees and asylum seekers. Besides language training, assessment and validation of migrants’ skills, guidance and work placements play a crucial role. To be effective, information and guidance should start as early as possible, ideally before migrants reach their destination, especially in view of their settlement within the European Union. This requires EU Member States to exchange information on their labour markets’ needs and to put in place a system for the early skills profiling of migrants to ensure suitable matching, with the aim of rationalising the distribution of humanitarian migrants across the EU.
For the detailed survey results and country examples, download Cedefop’s briefing note.
Find more here: Vocational education and training: bridging refugee and employer needs","Fri, 30 Jun 2017 13:34:30 +0000",20252 at http://skillspanorama.cedefop.europa.eu,2006
Labour market policy thematic review 2017: in-depth analysis of the impact of reforms on inequality,http://skillspanorama.cedefop.europa.eu/en/useful_resources/labour-market-policy-thematic-review-2017-depth-analysis-impact-reforms-inequality,"Labour market policy thematic review 2017: in-depth analysis of the impact of reforms on inequality2017This thematic review performs an analysis of the impact of recent reforms on inequality in Europe and was prepared by a network of external experts - the European Centre of Expertise  in the field of labour law, employment and labour market policy.
The review consists of 27 country-specific articles dedicated all EU countries covered by the European Semester process  and a synthesis report.
The experts were asked to select a limited number of reforms to report on, prioritising them in terms of their impact on inequalities and not to present an exhaustive discussion of reforms in 2015 and 2016. This review and the country reports therefore do not seek to provide a comprehensive picture of all relevant reforms implemented in recent years. A particular attention is given to reforms triggered by country-specific recommendations. If certain systems/policies had already been reformed prior to 2015, such reforms are not included in the scope of this review.
This publication is only available in electronic format in English.
Country reports: Labour Market Policy Thematic Review 2017: An in-depth analysis of the impact of reforms on inequality","Fri, 30 Jun 2017 13:18:01 +0000",20251 at http://skillspanorama.cedefop.europa.eu,1255
OECD: Enhancing employability and skills to meet labour market needs in Italy,http://skillspanorama.cedefop.europa.eu/en/news/oecd-enhancing-employability-and-skills-meet-labour-market-needs-italy,"OECD: Enhancing employability and skills to meet labour market needs in ItalyFriday, June 30, 2017The various deficiencies of the labour market and the educational system have resulted in high unemployment, low labour force participation, low skills levels and high skill mismatch.
The various deficiencies of the labour market and the educational system have resulted in high unemployment, low labour force participation, low skills levels and high skill mismatch. Job creation is key to tackling the high unemployment rates, especially for the young and long-term unemployed. Promoting jobs without paying attention to their quality and to the skills required by employers may have adverse impact on welfare and productivity. The Jobs Act and Good School , two major reforms of the labour market and the educational system, are good steps in the right direction. The Jobs Act and the temporary social security contribution exemptions have contributed to raise employment. By strengthening job search and training policies, the Jobs Act can enhance jobseekers’ employability. Increasing the effectiveness of public employment services, given the low spending level, remains a challenge. The Good School reform has the potential to improve school outcomes and provide more aligned skills to the job market. Increasing employability by upgrading skills that match employer needs remains a priority. Business involvement in education and training institutions at all educational levels will be paramount to ensure the provision of relevant skills, the availability of traineeship and apprenticeship places and provide on-the-job training. The adaptability of skills could be encouraged by lowering barriers to labour mobility and boosting work-based learning.
Enhancing employability and skills to meet labour market needs in Italy","Thu, 29 Jun 2017 16:18:01 +0000",20245 at http://skillspanorama.cedefop.europa.eu,1829
Skills Panorama awarded EPSA best practice certificate ,http://skillspanorama.cedefop.europa.eu/en/news/skills-panorama-awarded-epsa-best-practice-certificate,"Skills Panorama awarded EPSA best practice certificate Friday, June 30, 2017Skills Panorama, a European Commission project powered by Cedefop, which assesses skills needs in accordance with current labour market trends, has been awarded an EPSA 2017 best practice certificate.
The European Public Sector Award  was first launched 10 years ago by the European Institute of Public Administration  to promote implementation excellence amongst public sector institutions. Evaluators assess submitted projects at European, national, regional and supra-local levels, using criteria such as innovation, stakeholder involvement, impact and learning capacity.
The overarching theme of the 2017 edition was ‘an innovative public sector in 2017 – new solutions to complex challenges’, seeking to reward the most cutting-edge approaches in Europe’s public sector. Skills Panorama was recognised at the European and national level category. This year’s award ceremony will be held at the Maastricht Town Hall on 22 November.
Skills Panorama awarded EPSA best practice certificate ","Thu, 29 Jun 2017 10:18:01 +0000",20238 at http://skillspanorama.cedefop.europa.eu,1067
Towards age-friendly work in Europe: a life-course perspective on work and ageing from EU Agencies,http://skillspanorama.cedefop.europa.eu/en/news/towards-age-friendly-work-europe-life-course-perspective-work-and-ageing-eu-agencies,"Towards age-friendly work in Europe: a life-course perspective on work and ageing from EU AgenciesThursday, June 29, 2017The EU’s population and workforce are ageing. This has implications for employment, working conditions, living standards and welfare.
A new report shows how information from four agencies, including Cedefop, can support policy-making that is both complementary and greater than the sum of its parts.
The report, coordinated by EU-OSHA, draws on the agencies’ expertise in each of their areas and covers the different challenges associated with the ageing workforce and considers innovative solutions.
Cedefop explores how vocational education and training can be used to support active ageing at work.
EU-OSHA presents policy examples of integrated approaches to occupational safety and health for an ageing workforce.
Eurofound examines working conditions for workers of all ages, related work sustainability outcomes and how the right policies can foster longer working lives.
EIGE provides a gender perspective on the issue of the ageing workforce and discusses the different challenges that men and women face.
Towards age-friendly work in Europe: a life-course perspective on work and ageing from EU Agencies","Tue, 27 Jun 2017 16:12:01 +0000",20233 at http://skillspanorama.cedefop.europa.eu,1234
Addressing and preventing low skills discussed at Cedefop seminar,http://skillspanorama.cedefop.europa.eu/en/news/addressing-and-preventing-low-skills-discussed-cedefop-seminar,"Addressing and preventing low skills discussed at Cedefop seminarWednesday, June 28, 2017Cedefo​p’s Brussels-based seminars, organised in cooperation with the rotating Presidencies of the European Union , are now becoming an established tradition.

The third of these seminars, on 26 June, was organised together with the Maltese EU Presidency and focused on addressing and preventing low skills. It was attended by more than 50 representatives from the permanent representations to the EU, the European institutions and other organisations based in Brussels.    
In his welcome, Cedefop Director James Calleja stressed the important role played by the agency in providing research-based evidence supporting policy-makers in addressing the low skills challenge. According to Mr Calleja, research is necessary to increase the visibility of the issue and thereby provoke political change.
Cedefop Head of Department for Learning and Employability Antonio Ranieri presented a study on the economic and social costs of low-skilled adults in the EU. He said that low-skilled adults are much more likely to experience unemployment and poor working conditions than any other population group, with the costs this implies for the individuals and for society at large. The recent decrease in the number of the low-skilled is now slowing down, further accentuating the need for policy action.
Addressing and preventing low skills discussed at Cedefop seminar","Tue, 27 Jun 2017 09:57:51 +0000",20229 at http://skillspanorama.cedefop.europa.eu,1448
Statistics Sweden,http://skillspanorama.cedefop.europa.eu/en/useful_resources/statistics-sweden,Statistics Sweden2017Statistika Centralbyran,"Tue, 27 Jun 2017 09:48:10 +0000",20227 at http://skillspanorama.cedefop.europa.eu,44
National Institute of Economic Research,http://skillspanorama.cedefop.europa.eu/en/useful_resources/national-institute-economic-research,National Institute of Economic Research2017Konjunkturinstitutet,"Mon, 26 Jun 2017 10:12:01 +0000",20222 at http://skillspanorama.cedefop.europa.eu,63
Cedefop launches skills governance review in Slovakia,http://skillspanorama.cedefop.europa.eu/en/news/cedefop-launches-skills-governance-review-slovakia,"Cedefop launches skills governance review in SlovakiaMonday, June 26, 2017A Cedefop delegation headed by Deputy Director Mara Brugia met with national stakeholders in Bratislava on 20 June to launch the agency’s third country review on skills governance.

Image copyright: Slovak Ministry of Education, Science, Research and Sport
Following a request of the Slovak Ministry of Education, Science, Research and Sport, Cedefop engages in this work to help those in charge of education, employment and other policies reach broad agreement on a medium-term policy agenda to strengthen the national skills anticipation and matching system.
The meeting was hosted by the ministry and opened by State Secretary Peter Krajňák.
Ms Brugia and Cedefop experts Vladimir Kvetan and Jasper van Loo met with the national steering committee  – a body of national stakeholders set up to drive the review.
Cedefop explained how it intends to shape the 18-month project and used its skills governance framework to identify and discuss possible review priorities to ensure that the methodological and policy support the agency provides can truly benefit the long-term development of the skills system in Slovakia. Next steps are stakeholder interviews to identify bottlenecks and reflect on possible ways forward, creating opportunities for learning from methods and approaches applied in other European Union countries and a consensus building exercise leading up to a policy agenda with a clear action orientation.
Similar reviews have started in Greece and Bulgaria and another is planned for Estonia.
Cedefop launches skills governance review in Slovakia","Wed, 21 Jun 2017 09:48:25 +0000",20209 at http://skillspanorama.cedefop.europa.eu,1638
Towards the right to work: A guidebook for designing innovative public employment programmes,http://skillspanorama.cedefop.europa.eu/en/useful_resources/towards-right-work-guidebook-designing-innovative-public-employment-programmes,"Towards the right to work: A guidebook for designing innovative public employment programmes2017
It is supplemented by an international course that has been developed with support from the ILO's International Training Centre  for a mixed audience of policy makers and social actors, planners, and senior / middle-level officials from different national ministries and development agencies and programmes concerned.
Contains:
Guidance note 1 - Analysing unemployment and underemployment 
Guidance note 2 - The spectrum of public employment programmes  
Guidance note 3 - Creating fiscal space for PEPs 
Guidance note 4 - Cost structures and funding flows in PEPs 
Guidance note 5 - Setting the appropriate wage rate in PEPs 
Guidance note 6 - Targeting strategies and mechanisms in PEPs 
Guidance note 6-1 - Introducing youth employment into PEPs 
Guidance note 6-2 - Ensuring gender equity in PEPs 
Guidance note 7-1 - PEPs and Labour-intensive infrastructure works 
Guidance note 7-2 - PEPs and the Social sector: Tackling social Challenges 
Guidance note 7-3 - PEPs and Urban works 
Guidance note 7-4 - PEPs and Green jobs through green works 
Guidance note 8 - Social partners and social processes in PEPs 
Guidance note 9 - Public employment programmes and decent work 
Guidance note 10 - Innovation in Tackling the Risks of Corruption in PEPs 
Guidance note 11 - Design of institutional frameworks for PEPs 
Guidance note 12 - Training and capacity development in PEPs  
Guidance note 13 - Graduation and Exits from PEPs 
Guidance note 14 - Designing monitoring and evaluation systems in PEPs 
Guidance note 14-1 - Innovations in payment systems for PEPs: Efficiency, accountability and financial inclusion 
Guidance note 15 - Impact of PEPs 
 
Find more here","Tue, 20 Jun 2017 16:09:01 +0000",20206 at http://skillspanorama.cedefop.europa.eu,1764
ILO: Towards the right to work: A guidebook for designing innovative public employment programmes,http://skillspanorama.cedefop.europa.eu/en/news/ilo-towards-right-work-guidebook-designing-innovative-public-employment-programmes,"ILO: Towards the right to work: A guidebook for designing innovative public employment programmesWednesday, June 21, 2017This Guidebook on designing innovative public employment programmes was developed by the International Labour Office 's Employment Intensive Investment Programme .
It is supplemented by an international course that has been developed with support from the ILO's International Training Centre  for a mixed audience of policy makers and social actors, planners, and senior / middle-level officials from different national ministries and development agencies and programmes concerned.
Contains:
Guidance note 1 - Analysing unemployment and underemployment 
Guidance note 2 - The spectrum of public employment programmes  
Guidance note 3 - Creating fiscal space for PEPs 
Guidance note 4 - Cost structures and funding flows in PEPs 
Guidance note 5 - Setting the appropriate wage rate in PEPs 
Guidance note 6 - Targeting strategies and mechanisms in PEPs 
Guidance note 6-1 - Introducing youth employment into PEPs 
Guidance note 6-2 - Ensuring gender equity in PEPs 
Guidance note 7-1 - PEPs and Labour-intensive infrastructure works 
Guidance note 7-2 - PEPs and the Social sector: Tackling social Challenges 
Guidance note 7-3 - PEPs and Urban works 
Guidance note 7-4 - PEPs and Green jobs through green works 
Guidance note 8 - Social partners and social processes in PEPs 
Guidance note 9 - Public employment programmes and decent work 
Guidance note 10 - Innovation in Tackling the Risks of Corruption in PEPs 
Guidance note 11 - Design of institutional frameworks for PEPs 
Guidance note 12 - Training and capacity development in PEPs  
Guidance note 13 - Graduation and Exits from PEPs 
Guidance note 14 - Designing monitoring and evaluation systems in PEPs 
Guidance note 14-1 - Innovations in payment systems for PEPs: Efficiency, accountability and financial inclusion 
Guidance note 15 - Impact of PEPs 
 
Find more here: Towards the right to work: A guidebook for designing innovative public employment programmes","Tue, 20 Jun 2017 13:15:01 +0000",20204 at http://skillspanorama.cedefop.europa.eu,2046
European Commission: New Skills Profile tool to help non-EU nationals enter the labour market,http://skillspanorama.cedefop.europa.eu/en/news/european-commission-new-skills-profile-tool-help-non-eu-nationals-enter-labour-market,"European Commission: New Skills Profile tool to help non-EU nationals enter the labour marketWednesday, June 21, 2017The EU Skills Profile Tool for Third Country Nationals has been launched by the European Commission.

 
It is an off- and online web editor that will make it possible for non-EU nationals to present their skills, qualifications, and experiences in a way that is well understood by employers, education and training providers and organisations working with migrants across the whole European Union.
Commissioner for Employment, Social Affairs, Skills and Labour Mobility, Marianne Thyssen, said: ""In today's world of work we need everyone to be able to fully use their skills in our labour markets. The talents of non-EU nationals cannot be wasted. Our 'Skills Profile Tool' will facilitate their pathway towards work. It will also allow national administrations to have a clear understanding of their skills and qualifications. This is a win-win for all.""
The EU Skills Profile Tool for Third Country Nationals will be a first instrument for organisations offering services to non-EU nationals to make sure their skills and education are recognised, and to further guide them to training, education or employment. It is part of one of the ten actions defined under the New Skills Agenda for Europe.
New Skills Profile tool to help non-EU nationals enter the labour market","Mon, 19 Jun 2017 10:15:01 +0000",20189 at http://skillspanorama.cedefop.europa.eu,1388
Eurostat: Job vacancy rate at 1.9% in both euro area and EU28,http://skillspanorama.cedefop.europa.eu/en/news/eurostat-job-vacancy-rate-19-both-euro-area-and-eu28,"Eurostat: Job vacancy rate at 1.9% in both euro area and EU28Tuesday, June 20, 2017The job vacancy rate in the euro area  was 1.9% in the first quarter of 2017, up from 1.7% recorded in both the previous quarter and the first quarter of 2016, according to figures published by Eurostat, the statistical office of the European Union. In the EU28, the job vacancy rate was also 1.9% in the first quarter of 2017, up from 1.8% recorded in both the previous quarter and the first quarter of 2016.

In the euro area, the job vacancy rate in the first quarter of 2017 was 1.5% in industry and construction, and 2.2% in services. In the EU28, the rate was 1.6% in industry and construction, and 2.2% in services.
Member States
Among the Member States for which comparable data are available , the highest job vacancy rates in the first quarter of 2017 were recorded in the Czech Republic , Belgium , Finland and Sweden  as well as Germany . In contrast, the lowest rates were observed in Spain , Portugal , Bulgaria, Ireland, Greece, Poland and Slovakia . Compared with the same quarter of the previous year and among the Member States for which data are comparable over time , the job vacancy rate in the first quarter of 2017 rose in twenty Member States and remained stable in seven. The largest increases were registered in Belgium , the Czech Republic  and Estonia .
Find more here: Job vacancy rate at 1.9% in both euro area and EU28","Fri, 16 Jun 2017 10:15:01 +0000",20187 at http://skillspanorama.cedefop.europa.eu,1432
New digital publication presenting our online world in figures,http://skillspanorama.cedefop.europa.eu/en/news/new-digital-publication-presenting-our-online-world-figures,"New digital publication presenting our online world in figuresFriday, June 16, 2017Surfing, chatting, online shopping are among our everyday activities that use information and communication technologies , such as computers, laptops or smartphones. Nowadays, we spend a considerable part of our time online for various reasons, whether at work, at school or university, at home or on the move. Often we depend on our digital devices to stay in contact with family and friends, to get directions to shops, hotels and restaurants or to check our bank accounts.
Likewise, businesses operate within a digital environment: more and more they conduct business electronically with their partners and interact online with customers. The internet is the cornerstone for their e-business operations as it provides limitless capacities to connect people and businesses worldwide. Statistics can help to better understand the challenges our digital society is facing. This is the aim of the brand new digital publication Digital economy &amp; society in the EU, issued today by Eurostat, the statistical office of the European Union.

Find more here: New digital publication presenting our online world in figures","Wed, 14 Jun 2017 22:06:01 +0000",20177 at http://skillspanorama.cedefop.europa.eu,1201
ILO Video: Women employment in 2017 – The ILO report in short,http://skillspanorama.cedefop.europa.eu/en/news/ilo-video-women-employment-2017-%E2%80%93-ilo-report-short,"ILO Video: Women employment in 2017 – The ILO report in shortThursday, June 15, 2017Authors Steven Tobin and Sheena Yoon present the World Employment and Social Outlook  – Trends for Women, 2017, explaining the employment gains and losses women have made in the past year as well as the barriers they face entering and staying in today’s labour market.




 
Find more here: Video: Women employment in 2017 – The ILO report in short","Wed, 14 Jun 2017 16:06:01 +0000",20172 at http://skillspanorama.cedefop.europa.eu,432
France: Youth guarantee brings new benefits for vulnerable youth (NEETs),http://skillspanorama.cedefop.europa.eu/en/news/france-youth-guarantee-brings-new-benefits-vulnerable-youth-neets,"France: Youth guarantee brings new benefits for vulnerable youth Thursday, June 15, 2017The Youth guarantee (garantie jeunes) is a key measure aimed at less qualified young people not in education, employment or training  faced with risk of exclusion from the labour market.
It targets those aged 16 to 25, not all of whom were previously eligible for the unemployment support scheme of a guaranteed minimum income .
It was first rolled out in 2013, on an experimental basis and piloted at local level. From 1 January 2017, it is available across the country and enshrined in the French labour code.
Young people registered in the scheme follow a one-year intensive support programme, combined with training and professional immersion; they receive monthly financial support . The programme is run by the local youth employment agencies  and offers innovative forms of support:
beginning with assessment of individual skills, training needs and plans, and subsequently offering training programmes or on-the-job experiences;
giving priority to intensive group counselling through workshops run by tandem coordinators;
emphasising on-the-job learning over other forms of learning, known as the ‘work first’ principle  to allow learners gradually to gain some experience in the labour market;
providing active mediation services with companies, which receive support in hiring and taking on young people for on-the-job programmes.
According to a scientific committee assessment published in November 2016, among 84 000 young people enrolled in the Youth guarantee scheme by October 2016, 75% had no more than an end of secondary education diploma , and 25% came from disadvantaged areas. On average, 14 months after entering the programme, over 40% of the participants in the pilot regions had found employment, and over 20% had secured long-term employment. For those who would have been eligible but did not have access to the pilot programme the estimated job entry rate would have been 34% and 16% respectively.
According to the Ministry of Labour, expansion of the programme in 2017 should help reach 150 000 young people. The total budget foreseen is EUR 500 million, half of which goes to the support programme and half in benefits received by participants.
More information:
La Garantie jeunes
Garantie jeunes
Find more here: France: Youth guarantee brings new benefits for vulnerable youth ","Wed, 14 Jun 2017 16:06:01 +0000",20173 at http://skillspanorama.cedefop.europa.eu,2397
European Commission: Research and innovation across EU countries – challenges and developments,http://skillspanorama.cedefop.europa.eu/en/news/european-commission-research-and-innovation-across-eu-countries-%E2%80%93-challenges-and-developments,"European Commission: Research and innovation across EU countries – challenges and developmentsThursday, June 15, 2017The European Commission's Research and Innovation Observatory  at the Joint Research Centre has published the 2016 edition of the RIO reports, which assess the evolution of the research and innovation systems at country level and identify key challenges.

Covering 27 countries of the EU, their main aim is to feed into the EU policy process by providing input to the European Semester process and to monitor progress of the European Research Area, although they do not imply nor prejudge any policy positions of the European Commission. They are also a tool to support policy learning in the Member States.
This year's edition has been streamlined to provide the most relevant information to better understand the national R&amp;I systems, such as the main policy developments in 2016 , the economic context and the research and development trends, including investment figures.  Innovation challenges are presented including information on policy response and assessment.
According to the 2017 release, industry collaboration and commercialisation of public research results remain a major challenges for R&amp;I systems in many EU countries but the demand for human resources is increasingly a central point of R&amp;I policies.
Increases of public and private funding of R&amp;I remain an issue for both innovation leaders and modest innovators. We can also observe that the modest innovators continue efforts to build effective R&amp;I governance including strengthening the evaluation culture and monitoring. Finally, the European R&amp;I systems focus more and more on strengthening SMEs and domestic companies innovation output, fostering entrepreneurship and targeting interventions in companies in new knowledge-intensive sectors and young innovative companies with high growth potential.

Find more here: Research and innovation across EU countries – challenges and developments - Wed, 14/06/2017 - 15:15","Wed, 14 Jun 2017 10:15:01 +0000",20165 at http://skillspanorama.cedefop.europa.eu,2032
Eurostat: Employment up by 0.4% in both the euro area and in the EU28,http://skillspanorama.cedefop.europa.eu/en/news/eurostat-employment-04-both-euro-area-and-eu28,"Eurostat: Employment up by 0.4% in both the euro area and in the EU28Thursday, September 14, 2017The number of persons employed increased by 0.4% in both the euro area  and in the EU28 in the first quarter of 2017 compared with the previous quarter, according to national accounts estimates published by Eurostat, the statistical office of the European Union. In the fourth quarter of 2016, employment increased also by 0.4% in both areas. These figures are seasonally adjusted.
Compared with the same quarter of the previous year, employment increased by 1.5% in the euro area and by 1.4% in the EU28 in the first quarter of 2017 .
Eurostat estimates that, in the first quarter of 2017, 234.2 million men and women were employed in the EU28, of which 154.8 million were in the euro area, highest levels ever recorded in both areas. These figures are seasonally adjusted.
These quarterly data on employment provide a picture of labour input consistent with the output and income measure of national accounts.

Employment growth in Member States
Among Member States, Estonia , Malta , Sweden  and Ireland  recorded the highest increases in the first quarter of 2017 compared with the previous quarter. In contrast, decreases in employment were observed in Latvia , Romania , Croatia  and Lithuania .
Member States’ growth rates for employment in the first quarter of 2017
% change over the previous quarter, seasonally adjusted

Find more here: Employment up by 0.4% in both the euro area and in the EU28","Wed, 14 Jun 2017 10:12:01 +0000",20164 at http://skillspanorama.cedefop.europa.eu,1503
"OECD: Harmonised Unemployment Rates (HURs), Updated: June 2017",http://skillspanorama.cedefop.europa.eu/en/news/oecd-harmonised-unemployment-rates-hurs-updated-june-2017,"OECD: Harmonised Unemployment Rates , Updated: June 2017Wednesday, June 14, 2017OECD unemployment rate stable at 5.9% in April 2017.
The OECD unemployment rate was stable at 5.9% in April 2017. Across the OECD area, 36.9 million people were unemployed, 4.2 million more than before the crisis in April 2008.
In the euro area, the unemployment rate fell by 0.1 percentage point, to 9.3% in April, with the largest falls observed in Italy  and Spain .
The April unemployment rate also decreased in Canada  and the United States , while it was stable in Japan  and increased in Mexico  and Korea . More recent data show that in May the unemployment rate declined further in the United States  while it increased in Canada .
Youth unemployment affecting people aged 15 to 24, rose slightly, by 0.1 percentage point, to 12.1% in April. In the euro area, the youth unemployment rate fell by 0.3 percentage point, to 18.7%, contributing to a cumulative decline of almost two percentage points over the previous five months. However, almost one youth in two remains unemployed in Greece , and more than one in three in Spain  and Italy .

Link to underlying data - Source: Labour Force Statistics‌‌
Find more here: Harmonised Unemployment Rates , OECD - Updated: June 2017","Tue, 13 Jun 2017 16:15:01 +0000",20160 at http://skillspanorama.cedefop.europa.eu,1264
European Commission: Awards for VET Excellence - European Vocational Skills Week 2017,http://skillspanorama.cedefop.europa.eu/en/news/european-commission-awards-vet-excellence-european-vocational-skills-week-2017,"European Commission: Awards for VET Excellence - European Vocational Skills Week 2017Wednesday, June 14, 2017The award ceremony of the first European Vocational Skills Week 2016 was one of the major highlights of the Week and showcased examples of excellence in vocational education and training .

A further series of awards will be given during the closing event of the second European Vocational Skills Week on 24 November 2017 by Marianne Thyssen, European Commissioner for Employment, Social Affairs, Skills and Labour Mobility.
The award ceremony will highlight some of the best VET examples in Europe and will:
recognise excellence
provide visibility and recognition for good work done
enable the building of networks and new career opportunities
enable the winners to become ambassadors in their field of expertise
reach out to citizens by mobilising VET actors at all levels
 What are the criteria?
There will be a set of common criteria for all the awards, to be suggested by the Commission. These include illustrating excellence in VET, demonstrating energy and commitment or having a European dimension. For a full list of criteria see this leaflet. In addition, each award will have its own specific criteria, which will be agreed by the organisations responsible for managing that award.
How will the awards be organised?
Management of the awards will be by the organisations best able to undertake this role. The Commission will offer advice where necessary, and make sure that the results are achieved according to the timetable agreed with each organising body. Organisations that received an award in 2016 can participate again in 2017.
Award categories
International Skills Competitions Awards: This category recognises the exceptional performance of the European initial VET learner who achieved the highest number of points in the International Skills Competitions .
Cedefop Photo Award: This competition is organised by the European Centre for the Development of Vocational Training (Cedefop). It is for VET learners in the EU and is open to groups of up to three. The competition includes two awards for the best series of photos. The purpose of the competition is to mobilise VET learners throughout Europe to showcase what VET means for them, and how they go about their daily VET learning experience.
ETF Torino Process Award for Entrepreneurship: For this award, the European Training Foundation (ETF) will launch a call for good practice in promoting entrepreneurship as a key competence in VET. The competition is open to all VET providers from ETF partner countries.
Innovative VET Provider Award: This award aims to identify a European provider of VET that has contributed to VET excellence through innovative practices among the members of the expert group 'Platform of European Associations of VET Providers'.
VET Research Award: This award aims to reward an outstanding VET research project, or an individual researcher who has made an outstanding contribution to innovative thinking in VET.
EAfA Award: This award aims to identify excellent contributions made to the supply, quality, image and mobility of apprenticeships within the 'European Alliance for Apprenticeships'. EAfA Awards will be given for companies, apprentices as well as teachers and trainers in apprenticeships.
Learning at Work Award: The purpose of this award is to give visibility to good practices taking place in Europe in order to draw public attention to career-long professional learning in micro and small enterprises, and to inspire new practices and policies.
Awards for VET Excellence - European Vocational Skills Week 2017","Tue, 13 Jun 2017 16:06:01 +0000",20159 at http://skillspanorama.cedefop.europa.eu,3638
Skillsnet e-bulletin: June 2017,http://skillspanorama.cedefop.europa.eu/en/news/skillsnet-e-bulletin-june-2017,"Skillsnet e-bulletin: June 2017Tuesday, June 13, 2017The SKILLSNET e-bulletin June 2017 Issue has just been send to skillsnet members and published here in a pdf format.

The highlight of the June 2017 issue of the Skillsnet e-bulletin announces the European Skills Index.
The European Skills Index - Making Skills Work - measures the comparative performance of the skills formation and matching system of each EU country and can be consulted through the Skills Panorama. 
In order to receive each month, the SKILLSNET e-bulletin in your mailbox subscribe to the SKILLSNET e-bulletin here.
Download the Skillsnet e-bulletin: June 2017","Tue, 13 Jun 2017 10:09:02 +0000",20157 at http://skillspanorama.cedefop.europa.eu,634
OECD: Jobs gap closes but recovery remains uneven,http://skillspanorama.cedefop.europa.eu/en/news/oecd-jobs-gap-closes-recovery-remains-uneven,"OECD: Jobs gap closes but recovery remains unevenTuesday, June 13, 2017The job market continues to improve in the OECD area, with the employment rate finally returning to pre-crisis levels. But people on low and middle incomes have seen their wages stagnate and the share of middle-skilled jobs has fallen, contributing to rising inequality and concerns that top earners are getting a disproportionate share of the gains from economic growth, according to a new OECD report. 
The OECD Employment Outlook 2017 finds that the employed share of the population aged 15 to 74 years rose for the third consecutive year. It is expected to reach 61.5% by the end of 2018, above its peak of 60.9% in the fourth quarter of 2007.
Growing occupational polarisation has also contributed to rising discontent with globalisation, as those with lower or declining wages feel that the benefits from openness and interconnection are being reaped by a few. But the Outlook reveals that more than trade integration, job polarisation has been driven by pervasive and skill-biased technological changes. Between 1995 and 2015, the middle-skill share of employment fell by 9.5 percentage points in the OECD area, while the shares of high- and low-skill occupations rose by 7.6 and 1.9 percentage points, respectively.
“While the jobs gap is closing, many people do not feel the benefits as they are facing stagnant wages and no career prospects: we need an inclusive labour market that reconnects the benefits of our economic model with those who work in it,” said OECD Secretary-General Angel Gurría, launching the report in Berlin with the German Minister for Labour and Social Affairs, Andrea Nahles. “It is essential to ensure that the benefits of globalisation and growth are widely shared and that our policies are future-proofed to help workers grasp the new opportunities but also respond to the challenges of a rapidly changing world of work.” Read the full speech.
The Outlook projects that the labour market will continue to improve until at least the end of 2018, with nearly 47 million more people employed than at the end of 2007.
Unemployment in the OECD area has fallen by 12 million people since peaking in the first quarter of 2010 and youth unemployment is down by 3.8 million. The OECD average unemployment rate is projected to further inch downwards from 6.1% at the end of the first quarter of 2017 – 38 million unemployed – to 5.7% in at the end of 2018 – 36 million unemployed.
But significant challenges persist. The labour market recovery remains highly uneven. The employment rate is likely to be only 1% above its pre-crisis level by the end of 2018. Large jobs deficits will persist in some countries, notably in Southern Europe. Even in countries where employment has recovered, wage growth remains subdued.
(img alt="""" src=""http://www.oecd.org/media/Job-polarisation-3A1-1_1%20.png"" /)
Read more here: Jobs gap closes but recovery remains uneven","Tue, 13 Jun 2017 07:06:01 +0000",20155 at http://skillspanorama.cedefop.europa.eu,2953
